bill_param,seq,action_date,bill_session,bill_session_code,bill_year_of_session,calendar_session,calendar_session_year,calendar_year,phase,phase_ordinal,phase_start,phase_end,phase_n_days,days_into_phase,phase_progress,recess,in_recess,floor_session_only,is_holiday,prev_deadline,prev_deadline_date,days_since_prev_deadline,next_deadline,next_deadline_date,days_to_next_deadline,is_deadline_day,days_to_house_of_origin_deadline,days_to_final_passage_deadline
201320140SB743,1,2013-02-22,2013-2014,20132014,1,2013-2014,1,2013,INTRODUCTION,1,2013-01-01,2013-02-22,53,52,1,,FALSE,FALSE,FALSE,,,,INTRODUCTION_DEADLINE,2013-02-22,0,TRUE,98,203
201320140SB743,2,2013-02-23,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,0,0,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,1,POLICY_CMTE_FISCAL_1H,2013-04-26,62,FALSE,97,202
201320140SB743,3,2013-02-25,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,2,0.0263,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,3,POLICY_CMTE_FISCAL_1H,2013-04-26,60,FALSE,95,200
201320140SB743,4,2013-03-11,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,16,0.2105,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,17,POLICY_CMTE_FISCAL_1H,2013-04-26,46,FALSE,81,186
201320140SB743,5,2013-03-12,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,17,0.2237,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,18,POLICY_CMTE_FISCAL_1H,2013-04-26,45,FALSE,80,185
201320140SB743,6,2013-04-02,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,38,0.5,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,39,POLICY_CMTE_FISCAL_1H,2013-04-26,24,FALSE,59,164
201320140SB743,7,2013-04-05,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,41,0.5395,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,42,POLICY_CMTE_FISCAL_1H,2013-04-26,21,FALSE,56,161
201320140SB743,8,2013-04-15,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,51,0.6711,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,52,POLICY_CMTE_FISCAL_1H,2013-04-26,11,FALSE,46,151
201320140SB743,9,2013-04-16,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,52,0.6842,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,53,POLICY_CMTE_FISCAL_1H,2013-04-26,10,FALSE,45,150
201320140SB743,10,2013-04-22,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,58,0.7632,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,59,POLICY_CMTE_FISCAL_1H,2013-04-26,4,FALSE,39,144
201320140SB743,11,2013-04-22,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_FIRST_HOUSE,2,2013-02-23,2013-05-10,77,58,0.7632,,FALSE,FALSE,FALSE,INTRODUCTION_DEADLINE,2013-02-22,59,POLICY_CMTE_FISCAL_1H,2013-04-26,4,FALSE,39,144
201320140SB743,12,2013-05-16,2013-2014,20132014,1,2013-2014,1,2013,FISCAL_COMMITTEE_FIRST_HOUSE,3,2013-05-11,2013-05-24,14,5,0.3846,,FALSE,FALSE,FALSE,POLICY_CMTE_NONFISCAL_1H,2013-05-10,6,POLICY_CMTE_MEET_CUTOFF_1H,2013-05-17,1,FALSE,15,120
201320140SB743,13,2013-08-05,2013-2014,20132014,1,2013-2014,1,2013,POLICY_COMMITTEE_SECOND_HOUSE,5,2013-06-01,2013-08-09,70,65,0.942,,FALSE,FALSE,FALSE,HOUSE_OF_ORIGIN_DEADLINE,2013-05-31,66,POLICY_CMTE_2H,2013-08-09,4,FALSE,-66,39
201320140SB743,14,2013-08-14,2013-2014,20132014,1,2013-2014,1,2013,FISCAL_COMMITTEE_SECOND_HOUSE,6,2013-08-10,2013-08-30,21,4,0.2,,FALSE,FALSE,FALSE,POLICY_CMTE_2H,2013-08-09,5,POLICY_CMTE_2H,2013-08-16,2,FALSE,-75,30
201320140SB743,15,2013-08-15,2013-2014,20132014,1,2013-2014,1,2013,FISCAL_COMMITTEE_SECOND_HOUSE,6,2013-08-10,2013-08-30,21,5,0.25,,FALSE,FALSE,FALSE,POLICY_CMTE_2H,2013-08-09,6,POLICY_CMTE_2H,2013-08-16,1,FALSE,-76,29
201320140SB743,16,2013-08-22,2013-2014,20132014,1,2013-2014,1,2013,FISCAL_COMMITTEE_SECOND_HOUSE,6,2013-08-10,2013-08-30,21,12,0.6,,FALSE,FALSE,FALSE,POLICY_CMTE_2H,2013-08-16,6,FISCAL_CMTE_2H,2013-08-30,8,FALSE,-83,22
201320140SB743,17,2013-08-22,2013-2014,20132014,1,2013-2014,1,2013,FISCAL_COMMITTEE_SECOND_HOUSE,6,2013-08-10,2013-08-30,21,12,0.6,,FALSE,FALSE,FALSE,POLICY_CMTE_2H,2013-08-16,6,FISCAL_CMTE_2H,2013-08-30,8,FALSE,-83,22
201320140SB743,18,2013-09-06,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,6,0.4615,,FALSE,TRUE,FALSE,FISCAL_CMTE_2H,2013-08-30,7,FLOOR_AMEND_DEADLINE,2013-09-06,0,TRUE,-98,7
201320140SB743,19,2013-09-06,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,6,0.4615,,FALSE,TRUE,FALSE,FISCAL_CMTE_2H,2013-08-30,7,FLOOR_AMEND_DEADLINE,2013-09-06,0,TRUE,-98,7
201320140SB743,20,2013-09-09,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,9,0.6923,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,3,FINAL_PASSAGE_DEADLINE,2013-09-13,4,FALSE,-101,4
201320140SB743,21,2013-09-09,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,9,0.6923,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,3,FINAL_PASSAGE_DEADLINE,2013-09-13,4,FALSE,-101,4
201320140SB743,22,2013-09-10,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,10,0.7692,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,4,FINAL_PASSAGE_DEADLINE,2013-09-13,3,FALSE,-102,3
201320140SB743,23,2013-09-11,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,11,0.8462,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,5,FINAL_PASSAGE_DEADLINE,2013-09-13,2,FALSE,-103,2
201320140SB743,24,2013-09-11,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,11,0.8462,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,5,FINAL_PASSAGE_DEADLINE,2013-09-13,2,FALSE,-103,2
201320140SB743,25,2013-09-11,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,11,0.8462,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,5,FINAL_PASSAGE_DEADLINE,2013-09-13,2,FALSE,-103,2
201320140SB743,26,2013-09-11,2013-2014,20132014,1,2013-2014,1,2013,FLOOR_SECOND_HOUSE,7,2013-08-31,2013-09-13,14,11,0.8462,,FALSE,TRUE,FALSE,FLOOR_AMEND_DEADLINE,2013-09-06,5,FINAL_PASSAGE_DEADLINE,2013-09-13,2,FALSE,-103,2
